"system","user","cores","threads","setthreads","size","actual_mult","actual_solve","maxDiff"
"1","Darwin","AW","2","4","1","128","0.002","0.0089999999999999","1.85309545486234e-11"
"2","Darwin","AW","2","4","1","128","0.00099999999999989","0.004","1.85309545486234e-11"
"3","Darwin","AW","2","4","1","128","0.00200000000000022","0.00300000000000011","1.85309545486234e-11"
"4","Darwin","AW","2","4","1","128","0.00099999999999989","0.004","1.85309545486234e-11"
"5","Darwin","AW","2","4","1","128","0.00200000000000022","0.00499999999999989","1.85309545486234e-11"
"6","Darwin","AW","2","4","1","128","0.00200000000000022","0.00300000000000011","1.85309545486234e-11"
"7","Darwin","AW","2","4","1","128","0.00099999999999989","0.00300000000000011","1.85309545486234e-11"
"8","Darwin","AW","2","4","1","128","0.00100000000000033","0.00299999999999967","1.85309545486234e-11"
"9","Darwin","AW","2","4","1","128","0.00200000000000022","0.004","1.85309545486234e-11"
"10","Darwin","AW","2","4","1","256","0.0110000000000001","0.0209999999999999","2.64321897702757e-12"
"11","Darwin","AW","2","4","1","256","0.0110000000000001","0.0229999999999997","2.64321897702757e-12"
"12","Darwin","AW","2","4","1","256","0.0109999999999997","0.0239999999999996","2.64321897702757e-12"
"13","Darwin","AW","2","4","1","256","0.00999999999999979","0.02","2.64321897702757e-12"
"14","Darwin","AW","2","4","1","256","0.00999999999999979","0.02","2.64321897702757e-12"
"15","Darwin","AW","2","4","1","256","0.00999999999999979","0.0220000000000002","2.64321897702757e-12"
"16","Darwin","AW","2","4","1","256","0.0150000000000006","0.0220000000000002","2.64321897702757e-12"
"17","Darwin","AW","2","4","1","256","0.00999999999999979","0.0209999999999999","2.64321897702757e-12"
"18","Darwin","AW","2","4","1","256","0.0110000000000001","0.0209999999999999","2.64321897702757e-12"
"19","Darwin","AW","2","4","1","512","0.0819999999999999","0.149","1.60444102448309e-10"
"20","Darwin","AW","2","4","1","512","0.0829999999999993","0.146","1.60444102448309e-10"
"21","Darwin","AW","2","4","1","512","0.0789999999999997","0.144","1.60444102448309e-10"
"22","Darwin","AW","2","4","1","512","0.085","0.161","1.60444102448309e-10"
"23","Darwin","AW","2","4","1","512","0.0780000000000003","0.146","1.60444102448309e-10"
"24","Darwin","AW","2","4","1","512","0.0919999999999996","0.144","1.60444102448309e-10"
"25","Darwin","AW","2","4","1","512","0.0760000000000005","0.141","1.60444102448309e-10"
"26","Darwin","AW","2","4","1","512","0.0860000000000003","0.15","1.60444102448309e-10"
"27","Darwin","AW","2","4","1","512","0.0789999999999988","0.140000000000001","1.60444102448309e-10"
"28","Darwin","AW","2","4","1","1024","0.786000000000001","1.432","6.48157083560363e-11"
"29","Darwin","AW","2","4","1","1024","0.693","1.239","6.48157083560363e-11"
"30","Darwin","AW","2","4","1","1024","0.734999999999999","1.199","6.48157083560363e-11"
"31","Darwin","AW","2","4","1","1024","0.66","1.151","6.48157083560363e-11"
"32","Darwin","AW","2","4","1","1024","0.658999999999999","1.224","6.48157083560363e-11"
"33","Darwin","AW","2","4","1","1024","0.657","1.14","6.48157083560363e-11"
"34","Darwin","AW","2","4","1","1024","0.666","1.292","6.48157083560363e-11"
"35","Darwin","AW","2","4","1","1024","0.659999999999997","1.14100000000001","6.48157083560363e-11"
"36","Darwin","AW","2","4","1","1024","0.658000000000001","1.145","6.48157083560363e-11"
"37","Darwin","AW","2","4","2","128","0.00200000000000244","0.00500000000000256","1.85309545486234e-11"
"38","Darwin","AW","2","4","2","128","0.000999999999997669","0.00300000000000011","1.85309545486234e-11"
"39","Darwin","AW","2","4","2","128","0.00200000000000244","0.00400000000000489","1.85309545486234e-11"
"40","Darwin","AW","2","4","2","128","0.00199999999999534","0.00600000000000023","1.85309545486234e-11"
"41","Darwin","AW","2","4","2","128","0.000999999999997669","0.00300000000000011","1.85309545486234e-11"
"42","Darwin","AW","2","4","2","128","0.00199999999999534","0.00400000000000489","1.85309545486234e-11"
"43","Darwin","AW","2","4","2","128","0.00100000000000477","0.00399999999999778","1.85309545486234e-11"
"44","Darwin","AW","2","4","2","128","0.000999999999997669","0.00300000000000011","1.85309545486234e-11"
"45","Darwin","AW","2","4","2","128","0.00200000000000244","0.00300000000000011","1.85309545486234e-11"
"46","Darwin","AW","2","4","2","256","0.0110000000000028","0.0220000000000056","2.64321897702757e-12"
"47","Darwin","AW","2","4","2","256","0.0110000000000028","0.0210000000000008","2.64321897702757e-12"
"48","Darwin","AW","2","4","2","256","0.0100000000000051","0.0219999999999985","2.64321897702757e-12"
"49","Darwin","AW","2","4","2","256","0.0120000000000005","0.0250000000000057","2.64321897702757e-12"
"50","Darwin","AW","2","4","2","256","0.0109999999999957","0.0230000000000032","2.64321897702757e-12"
"51","Darwin","AW","2","4","2","256","0.0100000000000051","0.0230000000000032","2.64321897702757e-12"
"52","Darwin","AW","2","4","2","256","0.0130000000000052","0.0210000000000008","2.64321897702757e-12"
"53","Darwin","AW","2","4","2","256","0.0120000000000005","0.0249999999999986","2.64321897702757e-12"
"54","Darwin","AW","2","4","2","256","0.0109999999999957","0.0219999999999985","2.64321897702757e-12"
"55","Darwin","AW","2","4","2","512","0.0720000000000027","0.159999999999997","1.60444102448309e-10"
"56","Darwin","AW","2","4","2","512","0.0720000000000027","0.147000000000006","1.60444102448309e-10"
"57","Darwin","AW","2","4","2","512","0.0720000000000027","0.151000000000003","1.60444102448309e-10"
"58","Darwin","AW","2","4","2","512","0.070999999999998","0.143000000000001","1.60444102448309e-10"
"59","Darwin","AW","2","4","2","512","0.070999999999998","0.143999999999998","1.60444102448309e-10"
"60","Darwin","AW","2","4","2","512","0.0739999999999981","0.142000000000003","1.60444102448309e-10"
"61","Darwin","AW","2","4","2","512","0.0689999999999955","0.130000000000003","1.60444102448309e-10"
"62","Darwin","AW","2","4","2","512","0.070999999999998","0.128","1.60444102448309e-10"
"63","Darwin","AW","2","4","2","512","0.0700000000000003","0.145000000000003","1.60444102448309e-10"
"64","Darwin","AW","2","4","2","1024","0.693999999999996","1.204","6.48157083560363e-11"
